x,y,reward,collision
35.10,-6.16,6.55,
35.48,-6.66,-0.52,Wall_Low_44
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
-0.00,0.00,0.00,
0.02,0.01,0.45,
0.11,0.04,0.96,
0.26,0.06,1.40,
0.46,0.08,1.81,
0.72,0.10,2.22,
1.04,0.09,2.59,
1.40,0.07,2.79,
1.77,0.07,2.92,
2.18,0.09,3.32,
2.63,0.16,3.66,
3.14,0.27,4.10,
3.70,0.37,4.50,
4.29,0.52,4.83,
4.91,0.76,5.10,
5.52,1.12,5.69,
6.22,1.47,6.26,
6.98,1.81,6.04,
7.73,2.12,6.07,
8.47,2.44,5.91,
9.19,2.75,5.83,
9.89,3.08,5.66,
10.55,3.42,5.60,
11.23,3.69,5.54,
11.96,3.92,5.96,
12.75,4.04,5.92,
13.57,4.02,6.38,
14.40,3.88,6.51,
15.26,3.60,6.70,
16.09,3.20,6.93,
16.89,2.76,7.01,
17.69,2.27,6.99,
18.51,1.80,7.12,
19.36,1.38,7.33,
20.22,0.92,7.35,
21.02,0.38,7.20,
21.73,-0.24,7.00,
22.34,-0.95,6.96,
22.95,-1.64,6.90,
23.57,-2.33,6.80,
23.80,-2.37,-0.36,Car_59
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,-0.01,0.45,
0.11,-0.05,0.96,
0.26,-0.06,1.39,
0.46,-0.06,1.80,
0.72,-0.08,2.23,
1.04,-0.11,2.62,
1.40,-0.15,2.81,
1.77,-0.17,2.91,
2.18,-0.17,3.33,
2.64,-0.20,3.73,
3.16,-0.20,4.15,
3.73,-0.23,4.53,
4.35,-0.29,4.92,
5.03,-0.29,5.31,
5.74,-0.20,5.64,
6.49,0.02,6.11,
7.24,0.34,6.19,
8.00,0.63,6.07,
8.77,0.83,5.91,
9.54,0.99,5.66,
10.26,1.19,5.73,
10.98,1.43,5.60,
11.72,1.59,5.72,
12.46,1.72,5.64,
13.20,1.90,5.80,
13.94,2.10,5.75,
14.69,2.27,5.82,
15.46,2.41,5.93,
16.23,2.61,6.04,
17.01,2.81,6.16,
17.83,3.02,6.57,
18.67,3.31,7.06,
19.53,3.70,7.24,
20.37,4.22,7.51,
21.22,4.74,7.86,
