x,y,reward,collision
0.11,1.11,68.45,
0.26,1.54,68.90,
0.39,2.01,69.39,
0.60,2.68,70.09,
0.75,3.33,70.76,
0.92,4.07,71.52,
1.10,5.08,72.55,
1.39,5.97,73.49,
1.91,7.11,74.74,
2.31,8.08,75.79,
2.79,9.01,76.84,
3.32,10.12,78.06,
3.74,11.00,79.04,
4.14,11.88,80.00,
4.56,12.96,81.17,
4.98,13.85,82.14,
5.30,14.77,83.13,
5.58,15.93,84.31,
5.90,16.88,85.31,
6.36,17.79,86.33,
7.09,18.80,87.58,
7.70,19.68,88.65,
8.37,20.54,89.74,
8.96,21.46,90.83,
9.51,22.66,92.15,
9.85,23.93,93.47,
10.19,24.98,94.57,
10.82,26.41,96.13,
11.20,27.69,97.47,
11.39,28.78,98.58,
11.51,29.89,99.70,
11.80,31.20,101.04,
12.13,32.26,102.15,
12.46,33.34,103.28,
12.86,34.39,104.40,
13.29,35.66,105.73,
13.58,36.73,106.85,
13.91,38.03,108.19,
14.09,39.12,109.30,
14.44,40.40,110.62,
14.88,41.40,111.72,
15.61,42.48,113.02,
16.36,43.56,114.33,
16.97,44.47,115.42,
17.57,45.37,116.51,
18.18,46.29,117.61,
18.95,47.36,118.93,
19.69,48.18,120.04,
20.68,49.05,121.35,
21.59,49.66,122.45,
22.58,50.13,123.55,
23.57,50.62,124.65,
24.78,51.19,125.99,
25.84,51.52,127.10,
26.93,51.69,128.20,
28.24,51.91,129.53,
29.34,52.10,130.65,
30.66,52.31,131.98,
31.77,52.34,133.09,
33.09,52.27,134.42,
34.42,52.24,135.75,
35.72,52.05,137.06,
36.79,51.76,138.17,
37.80,51.36,139.26,
38.94,50.69,140.57,
39.89,50.14,141.67,
40.95,49.36,142.99,
41.78,48.63,144.09,
42.65,47.95,145.20,
43.44,47.18,146.30,
44.26,46.15,147.62,
44.97,45.31,148.72,
45.65,44.43,149.82,
46.44,43.38,151.15,
46.97,42.42,152.24,
47.34,41.39,153.33,
47.73,40.13,154.65,
48.08,39.09,155.75,
48.41,38.04,156.85,
48.62,36.96,157.95,
48.67,35.87,159.04,
48.72,34.77,160.14,
48.68,33.67,161.24,
48.68,32.57,162.35,
48.69,31.24,163.67,
48.86,29.92,165.01,
49.15,28.85,166.11,
49.59,27.85,167.20,
50.05,26.85,168.30,
50.67,25.69,169.63,
51.20,24.71,170.73,
51.89,23.59,172.05,
